lever_dropped,lever_label,n_features,mean_test_auc,std_test_auc,mean_test_ap,std_test_ap,mean_test_ap_lift,mean_test_brier_calibrated,folds_used,delta_auc_vs_full,delta_ap_vs_full
none_baseline,Baseline,39,0.8736615644001013,0.040266718270553004,0.30593680617232366,0.06818289618061994,12.152260345001945,0.02561369421891868,8,0.0,0.0
acs_demographics,ACS demographics,29,0.7209428257837309,0.04649712696064497,0.2502352354912716,0.08603625823017226,10.237906976528684,0.026324207545258105,8,-0.15271873861637042,-0.05570157068105208
place_rural,Rurality / place type,37,0.8740311948685345,0.04051990809687803,0.29019350369831187,0.05981131392320488,11.382694838132803,0.025915768230333924,8,0.0003696304684331908,-0.01574330247401179
fdic_concentration,FDIC concentration,33,0.8742037516950656,0.04097304975507055,0.3047676017345695,0.06571147458579078,12.134914413884653,0.025631607160903513,8,0.000542187294964247,-0.0011692044377541455
regime_flag,HMDA availability regime,38,0.8719935884944423,0.041206313932168795,0.30891074486038966,0.06743024302032291,12.28189918953213,0.02558403054717928,8,-0.001667975905659036,0.0029739386880660024
place_persistent_pov,Persistent poverty,38,0.8757681142413997,0.04090691210591276,0.31161413738441646,0.07174403820233592,12.44800830685974,0.025573648046702147,8,0.002106549841298322,0.0056773312120927955
cra_county_concentration,CRA county concentration,35,0.8730811345605789,0.04237575309593046,0.3122750415368024,0.06381655671956307,12.355612850527313,0.025488536339253187,8,-0.000580429839522445,0.00633823536447875
hmda,HMDA lending flow,24,0.8742111582357913,0.04151404409089763,0.31353242273748017,0.06552571258057102,12.44603536512404,0.02552154054865241,8,0.0005495938356899766,0.007595616565156504
