lever_dropped,lever_label,fold,train_years,val_year,test_years,n_features,test_auc,test_ap,test_ap_lift,test_brier_calibrated,test_pos_rate
place_rural,Rurality / place type,F2,2009-2013,2014,2015-2016,37,0.9181077606110407,0.375697713336938,18.29669649269005,0.01518614124506712,0.02053363641283758
place_rural,Rurality / place type,F3,2009-2014,2015,2016-2017,37,0.9013940742506181,0.23525822058469503,13.327160939191035,0.015243173576891422,0.017652538425710292
place_rural,Rurality / place type,F4,2009-2015,2016,2017-2018,37,0.9077275334479757,0.2674599711456381,16.515726454817944,0.013570709154009819,0.016194260172407677
place_rural,Rurality / place type,F5,2009-2016,2017,2018-2019,37,0.8589392185388639,0.3104265926464169,9.776916846438505,0.02586086466908455,0.031750969914354735
place_rural,Rurality / place type,F6,2009-2017,2018,2019-2020,37,0.8279311186560706,0.29308942940130656,5.820422052404932,0.043058332055807114,0.050355356838806105
place_rural,Rurality / place type,F7,2009-2018,2019,2020-2021,37,0.8094721986341031,0.20244880702186643,4.2656485807306135,0.04118426516652107,0.04746026382398133
place_rural,Rurality / place type,F8,2009-2019,2020,2021-2021,37,0.8484595421561367,0.25516211801231947,5.77385695230777,0.03688330203294754,0.04419266360770039
regime_flag,HMDA availability regime,F1,2009-2012,2013,2014-2015,38,0.9178999287236815,0.4200430017401678,19.006281804123763,0.015598524361848831,0.022100219604711518
regime_flag,HMDA availability regime,F2,2009-2013,2014,2015-2016,38,0.9134120778812775,0.3968516305346915,19.326904526593292,0.014830037020146847,0.02053363641283758
regime_flag,HMDA availability regime,F3,2009-2014,2015,2016-2017,38,0.8960066798193504,0.23893427269834672,13.535405896658323,0.015121799893677235,0.017652538425710292
regime_flag,HMDA availability regime,F4,2009-2015,2016,2017-2018,38,0.9131575036861014,0.3241402894977204,20.015751633409067,0.013155638240277767,0.016194260172407677
regime_flag,HMDA availability regime,F5,2009-2016,2017,2018-2019,38,0.8549044881324552,0.3188951265839628,10.043634176976404,0.025497691705822945,0.031750969914354735
regime_flag,HMDA availability regime,F6,2009-2017,2018,2019-2020,38,0.8269795613468216,0.2943571047857398,5.845596640850233,0.04304063692688942,0.050355356838806105
regime_flag,HMDA availability regime,F7,2009-2018,2019,2020-2021,38,0.8034978889093405,0.21574516683122424,4.545806311388639,0.040694087743759155,0.04746026382398133
regime_flag,HMDA availability regime,F8,2009-2019,2020,2021-2021,38,0.8500905794565102,0.2623193662112639,5.935812526257318,0.036733828485012054,0.04419266360770039
