lever_dropped,lever_label,fold,train_years,val_year,test_years,n_features,test_auc,test_ap,test_ap_lift,test_brier_calibrated,test_pos_rate
none_baseline,Baseline,F1,2009-2010,2011,2012-2013,39,0.855081417401604,0.4944879044323249,34.617847456827334,0.008282084949314594,0.014284189825754226
none_baseline,Baseline,F2,2009-2011,2012,2013-2014,39,0.8384500388178914,0.478730835472247,25.267684592193806,0.011234927922487259,0.018946367393716242
none_baseline,Baseline,F3,2009-2012,2013,2014-2015,39,0.9578341372297594,0.6838926740329833,28.981163739986684,0.011716985143721104,0.023597833412375507
none_baseline,Baseline,F4,2009-2013,2014,2015-2016,39,0.891394863361076,0.499065469764639,14.015112097541254,0.02339830808341503,0.03560909583107742
none_baseline,Baseline,F5,2009-2014,2015,2016-2017,39,0.8406170006230497,0.3535738446287662,7.0998521449636405,0.0403292179107666,0.04980017011756755
none_baseline,Baseline,F6,2009-2015,2016,2017-2018,39,0.836869132363501,0.3341010220359842,6.921275632941609,0.037670060992240906,0.04827159612685271
acs_demographics,ACS demographics,F1,2009-2010,2011,2012-2013,29,0.8565875052711667,0.4987775110322279,34.91815196497444,0.00824896153062582,0.014284189825754226
acs_demographics,ACS demographics,F2,2009-2011,2012,2013-2014,29,0.8296849583712522,0.48122883857743576,25.39953061065628,0.011237025260925293,0.018946367393716242
acs_demographics,ACS demographics,F3,2009-2012,2013,2014-2015,29,0.8718096440176017,0.6239731143186102,26.441966235399285,0.011982458643615246,0.023597833412375507
acs_demographics,ACS demographics,F4,2009-2013,2014,2015-2016,29,0.7518273259864301,0.4054891806427361,11.387236074914606,0.02395758219063282,0.03560909583107742
acs_demographics,ACS demographics,F5,2009-2014,2015,2016-2017,29,0.674762556453064,0.24589580205682954,4.937649840880506,0.04174681380391121,0.04980017011756755
acs_demographics,ACS demographics,F6,2009-2015,2016,2017-2018,29,0.6644160998205257,0.21391246578679507,4.43143552213719,0.040084872394800186,0.04827159612685271
cra_county_concentration,CRA county concentration,F1,2009-2010,2011,2012-2013,35,0.8223374430826798,0.48991914379751855,34.29800008077463,0.00837802980095148,0.014284189825754226
cra_county_concentration,CRA county concentration,F2,2009-2011,2012,2013-2014,35,0.8058242954877601,0.47135700950081494,24.878489881767273,0.011312609538435936,0.018946367393716242
cra_county_concentration,CRA county concentration,F3,2009-2012,2013,2014-2015,35,0.9562389819524485,0.687709048604165,29.1428893740519,0.01147207897156477,0.023597833412375507
cra_county_concentration,CRA county concentration,F4,2009-2013,2014,2015-2016,35,0.8893427167308477,0.49679721333527765,13.95141330439802,0.02291199564933777,0.03560909583107742
cra_county_concentration,CRA county concentration,F5,2009-2014,2015,2016-2017,35,0.837299632926942,0.36037460611827316,7.236413154162039,0.03986470028758049,0.04980017011756755
