lever_dropped,lever_label,fold,train_years,val_year,test_years,n_features,test_auc,test_ap,test_ap_lift,test_brier_calibrated,test_pos_rate
cra_county_concentration,CRA county concentration,F6,2009-2015,2016,2017-2018,35,0.8362280778452466,0.33902615391019353,7.0233052377068335,0.03744535520672798,0.04827159612685271
fdic_concentration,FDIC concentration,F1,2009-2010,2011,2012-2013,33,0.8492999467170659,0.47452503109338307,33.22029718744146,0.008424228057265282,0.014284189825754226
fdic_concentration,FDIC concentration,F2,2009-2011,2012,2013-2014,33,0.832879205205749,0.46533517257772555,24.560653918917392,0.011305855587124825,0.018946367393716242
fdic_concentration,FDIC concentration,F3,2009-2012,2013,2014-2015,33,0.9536634525303247,0.682225717507594,28.91052350381504,0.011649040505290031,0.023597833412375507
fdic_concentration,FDIC concentration,F4,2009-2013,2014,2015-2016,33,0.8907520649174873,0.4959577968892482,13.92784021369076,0.02346475049853325,0.03560909583107742
fdic_concentration,FDIC concentration,F5,2009-2014,2015,2016-2017,33,0.8390991081906809,0.3491752332752856,7.011526917497622,0.04051540046930313,0.04980017011756755
fdic_concentration,FDIC concentration,F6,2009-2015,2016,2017-2018,33,0.837203977128778,0.33389058677193895,6.916916231535195,0.037668243050575256,0.04827159612685271
hmda,HMDA lending flow,F1,2009-2010,2011,2012-2013,24,0.8546010688808924,0.5046496179190998,35.32924331551674,0.00822423491626978,0.014284189825754226
hmda,HMDA lending flow,F2,2009-2011,2012,2013-2014,24,0.8365130259353979,0.48275631569817434,25.48015171806947,0.011245681904256344,0.018946367393716242
hmda,HMDA lending flow,F3,2009-2012,2013,2014-2015,24,0.9547696361986592,0.6751524790410983,28.61078249188018,0.011656737886369228,0.023597833412375507
hmda,HMDA lending flow,F4,2009-2013,2014,2015-2016,24,0.8802208226325773,0.491053143562565,13.790104244489244,0.023440884426236153,0.03560909583107742
hmda,HMDA lending flow,F5,2009-2014,2015,2016-2017,24,0.8402648065421254,0.3523776610213122,7.075832475861506,0.040258098393678665,0.04980017011756755
hmda,HMDA lending flow,F6,2009-2015,2016,2017-2018,24,0.8385344991868483,0.3369404955992534,6.9800984975472735,0.037522561848163605,0.04827159612685271
place_persistent_pov,Persistent poverty,F1,2009-2010,2011,2012-2013,38,0.8455000791064693,0.502314641787704,35.16577754252724,0.008291267789900303,0.014284189825754226
place_persistent_pov,Persistent poverty,F2,2009-2011,2012,2013-2014,38,0.8286691712226404,0.4718761600430721,24.90589094137247,0.011217149905860424,0.018946367393716242
place_persistent_pov,Persistent poverty,F3,2009-2012,2013,2014-2015,38,0.9562368154801456,0.662640104117779,28.08054843586903,0.01162779238075018,0.023597833412375507
place_persistent_pov,Persistent poverty,F4,2009-2013,2014,2015-2016,38,0.8917168084572433,0.49754449005711293,13.972398861722482,0.023387661203742027,0.03560909583107742
place_persistent_pov,Persistent poverty,F5,2009-2014,2015,2016-2017,38,0.8401401531396532,0.35353275323703437,7.099027019434254,0.04031841456890106,0.04980017011756755
place_persistent_pov,Persistent poverty,F6,2009-2015,2016,2017-2018,38,0.837993608691127,0.33578943493631397,6.956252990969978,0.03754401206970215,0.04827159612685271
place_rural,Rurality / place type,F1,2009-2010,2011,2012-2013,37,0.7610253660528767,0.04088091269224572,2.8619692954890525,0.013880708254873753,0.014284189825754226
place_rural,Rurality / place type,F2,2009-2011,2012,2013-2014,37,0.7189066575367792,0.04136528052158647,2.1832829302838124,0.018422335386276245,0.018946367393716242
place_rural,Rurality / place type,F3,2009-2012,2013,2014-2015,37,0.9578997814486969,0.6680436660116338,28.309533944810752,0.01198059692978859,0.023597833412375507
place_rural,Rurality / place type,F4,2009-2013,2014,2015-2016,37,0.8879912303741271,0.48224301049100704,13.542691810504637,0.0236823707818985,0.03560909583107742
place_rural,Rurality / place type,F5,2009-2014,2015,2016-2017,37,0.8403681166528442,0.350429046208873,7.03670379803091,0.04031515493988991,0.04980017011756755
place_rural,Rurality / place type,F6,2009-2015,2016,2017-2018,37,0.8372306239835602,0.3286853565744671,6.809084077326061,0.03786627948284149,0.04827159612685271
regime_flag,HMDA availability regime,F1,2009-2010,2011,2012-2013,38,0.8485094051512607,0.5027301506067361,35.19486626398086,0.008211621083319187,0.014284189825754226
regime_flag,HMDA availability regime,F2,2009-2011,2012,2013-2014,38,0.8374358599699423,0.4795047425669532,25.308531846900944,0.011229022406041622,0.018946367393716242
regime_flag,HMDA availability regime,F3,2009-2012,2013,2014-2015,38,0.9531110842957435,0.6729229894048058,28.516303918473383,0.011673184111714363,0.023597833412375507
regime_flag,HMDA availability regime,F4,2009-2013,2014,2015-2016,38,0.8924751594147575,0.49691050530044334,13.95459485008239,0.023356968536973,0.03560909583107742
regime_flag,HMDA availability regime,F5,2009-2014,2015,2016-2017,38,0.8402059905527285,0.3529234808685472,7.086792676317578,0.04029780253767967,0.04980017011756755
regime_flag,HMDA availability regime,F6,2009-2015,2016,2017-2018,38,0.8369382708876721,0.33501129881658764,6.9401330326060275,0.037548840045928955,0.04827159612685271
