lever_dropped,lever_label,n_features,mean_test_auc,std_test_auc,mean_test_ap,std_test_ap,mean_test_ap_lift,mean_test_brier_calibrated,folds_used,delta_auc_vs_full,delta_ap_vs_full
none_baseline,Baseline,39,0.8700410982994802,0.043496254449444265,0.4739752917278241,0.11489090962692407,19.483822610742386,0.022105264166990917,6,0.0,0.0
place_rural,Rurality / place type,37,0.8339036293414807,0.07841015835190428,0.3186078787499689,0.22508949848334006,10.12387764274087,0.024357907629261415,6,-0.03613746895799952,-0.15536741297785522
acs_demographics,ACS demographics,29,0.7748480149866733,0.08349875363865782,0.4115461520691057,0.14383207824387204,17.919328374827057,0.02287628563741843,6,-0.09519308331280685,-0.06242913965871838
fdic_concentration,FDIC concentration,33,0.8671496257816811,0.04324034291295749,0.4668515896858625,0.11461582250469317,19.091292995482913,0.022171253028015297,6,-0.0028914725177990874,-0.00712370204196161
place_persistent_pov,Persistent poverty,38,0.8667094393495464,0.044847787845318406,0.4706162640298361,0.108390867813762,19.36331596531591,0.022064382986476023,6,-0.0033316589499338134,-0.003359027697988015
regime_flag,HMDA availability regime,38,0.8681126283786842,0.04261111339271751,0.47333386126067895,0.11174799834762222,19.500203764726862,0.022052906453609467,6,-0.0019284699207959832,-0.0006414304671451543
hmda,HMDA lending flow,24,0.8674839765627501,0.0418033853811166,0.47382161880691714,0.1120612271922978,19.544368790560736,0.022058033229162295,6,-0.0025571217367300614,-0.0001536729209069554
cra_county_concentration,CRA county concentration,35,0.8578785246709875,0.05087536867694748,0.47419719587770714,0.11371023911309514,19.421751838810113,0.021897461575766403,6,-0.012162573628492712,0.0002219041498830454
